POLYMER,CATEGORY,BRAND,GRADE,MFI,APPLICATION
HOMO POLYMER,HOMO POLYMER - PP INJECTION,Basell,640 U,75,Thin wall Containers
HOMO POLYMER,HOMO POLYMER - PP INJECTION,Basell,648 U,75,Thin wall Containers
HOMO POLYMER,HOMO POLYMER - PP INJECTION,Borouge,385 MO,25,Hangers and Chairs
HOMO POLYMER,HOMO POLYMER - THERMO FORMING,Borouge,205 TF,4,"Disposable cups, Icecream Containers"
HOMO POLYMER,HOMO POLYMER - THERMO FORMING,Luban,1151 K,3,"Disposable cups, Icecream Containers"
HOMO POLYMER,HOMO POLYMER - RAFFIA,Tasnee,1030,3,"Ropes, Cordage, Tape, Woven bags, Plastic Sacks"
HOMO POLYMER,HOMO POLYMER - RAFFIA,Marlex,030,3,"Ropes, Cordage, Tape, Woven bags, Plastic Sacks"
HOMO POLYMER,HOMO POLYMER - RAFFIA,Basell,456 J,3,"Ropes, Cordage, Tape, Woven bags, Plastic Sacks"
HOMO POLYMER,HOMO POLYMER - SPUN BONDED,Basell,462 S,35,"Face Mask, Apron, Diapers, Napkins, Non-woven Bags"
HOMO POLYMER,HOMO POLYMER - SPUN BONDED,Sabic,519 A,35,"Face Mask, Apron, Diapers, Napkins, Non-woven Bags"
HOMO POLYMER,HOMO POLYMER - SPUN BONDED,Basell,5101 RC,25,"Face Mask, Apron, Diapers, Napkins, Non-woven Bags"
CO-POLYMER,CO-POLYMER - IMPACT/BLOCK/PPCP,Borouge,265 MO,7,Paint Bucket
CO-POLYMER,CO-POLYMER - IMPACT/BLOCK/PPCP,Borouge,961 MO,12,Paint Bucket
CO-POLYMER,CO-POLYMER - IMPACT/BLOCK/PPCP,Borouge,368 MO,70,"IceCream, Curd Container"
CO-POLYMER,CO-POLYMER - IMPACT/BLOCK/PPCP,Basell,332K,5,"Crate, Fan Cup"
CO-POLYMER,CO-POLYMER - IMPACT/BLOCK/PPCP,Borouge,950 MO,8,Flip top Caps
RANDOM,RANDOM CO-POLYMER - RCP INJECTION,Borouge,420 MO,13,Container
RANDOM,RANDOM CO-POLYMER - RCP INJECTION,Borouge,425 MO,14,Container
RANDOM,RANDOM CO-POLYMER - RCP INJECTION,Borouge,568 MO,30,Medical
RANDOM,RANDOM CO-POLYMER - RCP INJECTION,Borouge,668 MO,40,Medical
RANDOM,RANDOM CO-POLYMER - RCP INJECTION,Borouge,768 MO,70,Thin wall Containers
RANDOM,RANDOM CO-POLYMER - BLOW,Borouge,307 MO,1.5,"Shampoo bottle, Feeding Bottle, Etc"
RANDOM,RANDOM CO-POLYMER - BLOW,Borouge,707 CF,1.5,"Shampoo bottle, Feeding Bottle, Etc"
PVC,PVC,LG Chem,LS100 H,66,"Soft Resin, Electrical Pipe, Doors Profiles etc"
PVC,PVC,LG Chem,LS100,66,"Soft Resin, Electrical Pipe, Doors Profiles etc"
PVC,PVC,Formosa,65D,68,"Soft Resin, Electrical Pipe, Doors Profiles etc"
ABS,ABS,Kumhow,750 SW,38,"Engineering components, Mixer blender body, Switch Board, Battery outer layer, Car door parts, Helmet"
ABS,ABS,LG Chem,H1121 H,21,"Engineering components, Mixer blender body, Switch Board, Battery outer layer, Car door parts, Helmet"
,,,,,
